bee_id,group,trial,choice,block
13,LR,5,1,10
13,LR,6,0,10
13,LR,7,1,10
13,LR,8,0,10
13,LR,9,0,10
13,LR,10,0,10
13,LR,11,1,20
13,LR,12,1,20
13,LR,13,0,20
13,LR,14,0,20
13,LR,15,0,20
13,LR,16,1,20
13,LR,17,0,20
13,LR,18,0,20
13,LR,19,0,20
13,LR,20,1,20
13,LR,21,0,30
13,LR,22,1,30
13,LR,23,1,30
13,LR,24,0,30
13,LR,25,0,30
13,LR,26,1,30
13,LR,27,0,30
13,LR,28,0,30
13,LR,29,1,30
13,LR,30,1,30
13,LR,31,1,40
13,LR,32,0,40
13,LR,33,1,40
13,LR,34,1,40
13,LR,35,0,40
13,LR,36,1,40
13,LR,37,0,40
13,LR,38,0,40
13,LR,39,0,40
13,LR,40,1,40
14,RL,1,0,10
14,RL,2,1,10
14,RL,3,0,10
14,RL,4,0,10
14,RL,5,0,10
14,RL,6,0,10
14,RL,7,1,10
14,RL,8,1,10
14,RL,9,0,10
14,RL,10,0,10
14,RL,11,0,20
14,RL,12,1,20
14,RL,13,1,20
14,RL,14,1,20
14,RL,15,0,20
14,RL,16,1,20
14,RL,17,0,20
14,RL,18,1,20
14,RL,19,1,20
14,RL,20,1,20
14,RL,21,0,30
14,RL,22,0,30
14,RL,23,1,30
14,RL,24,0,30
14,RL,25,0,30
14,RL,26,1,30
14,RL,27,1,30
14,RL,28,1,30
14,RL,29,0,30
14,RL,30,0,30
14,RL,31,1,40
14,RL,32,1,40
14,RL,33,1,40
14,RL,34,1,40
14,RL,35,0,40
14,RL,36,1,40
14,RL,37,1,40
14,RL,38,0,40
14,RL,39,0,40
14,RL,40,1,40
15,LR,1,1,10
15,LR,2,1,10
15,LR,3,0,10
15,LR,4,0,10
15,LR,5,0,10
15,LR,6,1,10
15,LR,7,0,10
15,LR,8,0,10
15,LR,9,1,10
15,LR,10,1,10
15,LR,11,1,20
15,LR,12,1,20
15,LR,13,1,20
15,LR,14,0,20
15,LR,15,1,20
15,LR,16,0,20
15,LR,17,0,20
15,LR,18,1,20
15,LR,19,1,20
15,LR,20,1,20
15,LR,21,1,30
15,LR,22,1,30
15,LR,23,1,30
15,LR,24,1,30
15,LR,25,0,30
15,LR,26,1,30
15,LR,27,0,30
15,LR,28,1,30
15,LR,29,1,30
15,LR,30,1,30
15,LR,31,1,40
15,LR,32,0,40
15,LR,33,0,40
15,LR,34,1,40
15,LR,35,0,40
15,LR,36,1,40
15,LR,37,1,40
15,LR,38,1,40
15,LR,39,0,40
15,LR,40,0,40
